id,ping,download,upload,server_id,server_name,server_host,url,scheduled,failed,created_at,updated_at
618,8.473,163.121424,357.22376,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/1a3e2f41-e52f-4c51-b56d-e82ab6183554,1,0,"2022-01-18 22:00:27","2022-01-18 22:00:27"
619,3.833,200.827848,356.735208,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/fccb0377-f85f-46a7-a80e-21040eae94f7,1,0,"2022-01-18 22:02:25","2022-01-18 22:02:25"
620,4.231,186.046392,356.754096,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/83aaab7a-a7d8-40ea-ade6-56249c728169,1,0,"2022-01-18 22:04:26","2022-01-18 22:04:26"
621,4.924,178.782824,356.671664,1774,Comcast,stosat-ndhm-01.sys.comcast.net:8080,https://www.speedtest.net/result/c/f119e890-daaf-45b1-acde-8a3d64c83957,1,0,"2022-01-18 22:06:26","2022-01-18 22:06:26"
622,5.125,224.090608,356.971064,4920,"Norwood Light Broadband",speedtest.norwoodlight.com:8080,https://www.speedtest.net/result/c/9da4ca3e-8d86-473f-ab0d-f902a3892d22,1,0,"2022-01-18 22:08:32","2022-01-18 22:08:32"
623,4.602,220.793952,357.532416,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/dd4d358d-93cc-4383-a4e8-5c201f25bf27,1,0,"2022-01-18 22:10:35","2022-01-18 22:10:35"
624,4.916,246.945168,356.741648,27031,"BELD Broadband",speedtest.beld.net:8080,https://www.speedtest.net/result/c/e4b713d4-139c-467b-98d6-f442f49b8b3c,1,0,"2022-01-18 22:12:27","2022-01-18 22:12:27"
625,4.309,179.967544,356.971568,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/59188f6f-d832-484d-acab-5e3abab921f2,1,0,"2022-01-18 22:14:18","2022-01-18 22:14:18"
626,4.924,197.0764,320.522936,4920,"Norwood Light Broadband",speedtest.norwoodlight.com:8080,https://www.speedtest.net/result/c/877ff283-4dd5-4325-b647-2575d09c0340,1,0,"2022-01-18 22:16:36","2022-01-18 22:16:36"
627,4.918,192.411752,355.84096,25323,iboss,speedtest.bos01.infrastructure.iboss.cloud:8080,https://www.speedtest.net/result/c/706be4b8-2c55-40d5-b33f-ed3a86ab7199,1,0,"2022-01-18 22:18:26","2022-01-18 22:18:26"
628,28.244,42.560136,358.84948,4920,"Norwood Light Broadband",speedtest.norwoodlight.com:8080,https://www.speedtest.net/result/c/7e16c5ca-12c2-4455-8f51-b93d08f24a5d,1,0,"2022-01-18 22:20:24","2022-01-18 22:20:24"
